x_nm,y_nm,z_nm,V
-200,-200,35,-0.637620852207164
-200,-195.959595959596,35,-0.622982272053339
-200,-191.919191919192,35,-0.608554638254919
-200,-187.878787878788,35,-0.594434367261185
-200,-183.838383838384,35,-0.580679746799809
-200,-179.79797979798,35,-0.56722235167148
-200,-175.757575757576,35,-0.553723015401559
-200,-171.717171717172,35,-0.540418821531132
-200,-167.676767676768,35,-0.527342970083299
-200,-163.636363636364,35,-0.51436463752045
-200,-159.59595959596,35,-0.501493288179882
-200,-155.555555555556,35,-0.488728922061595
-200,-151.515151515152,35,-0.476071539165589
-200,-147.474747474747,35,-0.463521139491863
-200,-143.434343434343,35,-0.451072381029898
-200,-139.393939393939,35,-0.438532307571237
-200,-135.353535353535,35,-0.425985892799057
-200,-131.313131313131,35,-0.412883566928137
-200,-127.272727272727,35,-0.399596821574165
-200,-123.232323232323,35,-0.387002544898378
-200,-119.191919191919,35,-0.375100736900774
-200,-115.151515151515,35,-0.363891397581356
-200,-111.111111111111,35,-0.353374526940122
-200,-107.070707070707,35,-0.343552397526633
-200,-103.030303030303,35,-0.334572616917941
-200,-98.989898989899,35,-0.326315064530574
-200,-94.949494949495,35,-0.319569052045267
-200,-90.9090909090909,35,-0.313439645615296
-200,-86.8686868686869,35,-0.307817436753828
-200,-82.8282828282828,35,-0.302702425460861
-200,-78.7878787878788,35,-0.298094611736397
-200,-74.7474747474748,35,-0.293993995580434
-200,-70.7070707070707,35,-0.290390834274167
-200,-66.6666666666667,35,-0.287366565876641
-200,-62.6262626262626,35,-0.285081604100204
-200,-58.5858585858586,35,-0.283384922229728
-200,-54.5454545454545,35,-0.281821239061252
-200,-50.5050505050505,35,-0.280390554594777
-200,-46.4646464646465,35,-0.279092868830302
-200,-42.4242424242424,35,-0.277928181767828
-200,-38.3838383838384,35,-0.276896493407355
-200,-34.3434343434343,35,-0.275977447937429
-200,-30.3030303030303,35,-0.275303909149791
-200,-26.2626262626263,35,-0.274901306287774
-200,-22.2222222222222,35,-0.274589996098932
-200,-18.1818181818182,35,-0.274332817320066
-200,-14.1414141414141,35,-0.274129769951175
-200,-10.1010101010101,35,-0.273980853992259
-200,-6.06060606060606,35,-0.273886069443318
-200,-2.02020202020202,35,-0.273817883646825
-200,2.02020202020202,35,-0.273722574531645
-200,6.06060606060606,35,-0.273740669279829
-200,10.1010101010101,35,-0.273854148755961
-200,14.1414141414141,35,-0.274028510371112
-200,18.1818181818182,35,-0.274263754125285
-200,22.2222222222222,35,-0.274559880018478
-200,26.2626262626263,35,-0.274916888050692
-200,30.3030303030303,35,-0.275334778221926
-200,34.3434343434343,35,-0.275901226836941
-200,38.3838383838384,35,-0.276767752588098
-200,42.4242424242424,35,-0.277847534860692
-200,46.4646464646465,35,-0.279043772468087
-200,50.5050505050505,35,-0.280406410966485
-200,54.5454545454545,35,-0.281935450355887
-200,58.5858585858586,35,-0.283630890636293
-200,62.6262626262626,35,-0.285492731807704
-200,66.6666666666667,35,-0.287520973870118
-200,70.7070707070707,35,-0.290295339325508
-200,74.7474747474748,35,-0.293746487124457
-200,78.7878787878788,35,-0.297864198079248
-200,82.8282828282828,35,-0.302520428424533
-200,86.8686868686869,35,-0.307713231955668
-200,90.9090909090909,35,-0.313442608672653
-200,94.949494949495,35,-0.31970855857549
-200,98.989898989899,35,-0.326511081664178
-200,103.030303030303,35,-0.334623157862895
-200,107.070707070707,35,-0.344089699413597
-200,111.111111111111,35,-0.354126703074259
-200,115.151515151515,35,-0.364575272720093
-200,119.191919191919,35,-0.37568044720601
-200,123.232323232323,35,-0.387442226532009
-200,127.272727272727,35,-0.399860610698089
-200,131.313131313131,35,-0.412935599704252
-200,135.353535353535,35,-0.426649057578632
-200,139.393939393939,35,-0.439024350294762
-200,143.434343434343,35,-0.451414553390431
-200,147.474747474747,35,-0.46381966686564
-200,151.515151515152,35,-0.476332946185468
-200,155.555555555556,35,-0.489039241827413
-200,159.59595959596,35,-0.501830701382709
-200,163.636363636364,35,-0.514707324851358
-200,167.676767676768,35,-0.52766911223336
-200,171.717171717172,35,-0.540675357741506
-200,175.757575757576,35,-0.553696529820938
-200,179.79797979798,35,-0.566964349648279
-200,183.838383838384,35,-0.580478817223531
-200,187.878787878788,35,-0.594239932546691
-200,191.919191919192,35,-0.60838334065883
-200,195.959595959596,35,-0.622876274177912
-200,200,35,-0.637531852066324
-195.959595959596,-200,35,-0.651158710571898
-195.959595959596,-195.959595959596,35,-0.636263939771928
-195.959595959596,-191.919191919192,35,-0.621679425155689
-195.959595959596,-187.878787878788,35,-0.607399990982311
-195.959595959596,-183.838383838384,35,-0.593417782141982
-195.959595959596,-179.79797979798,35,-0.579725117930286
-195.959595959596,-175.757575757576,35,-0.565967435744322
-195.959595959596,-171.717171717172,35,-0.552483474675845
